restaurant_name,address,zip_code,restaurant_key
JJ FISH SEA FOOD MARKET,2025 E 75TH ST,60649,0
COLECTIVO COFFEE,1211 N DAMEN AVE,60622,1
WATERS ELEMENTARY,4540 N Campbell AVE,60625,2
Dunkin Donuts,4359 N PULASKI RD,60641,3
Kozminski,936 E 54th St (5400S),60615,4
"POLISH PACZKI CAFE,LLC.",7210 W FOSTER AVE,60656,5
AMARU,1904 W NORTH AVE,60622,6
DONS DRIVE-IN INC.,7748 S KEDZIE AVE,60652,7
WHISKEYS,835 EXPOSITION AVE,75226,8
CENTERPLATE PANTRY UPPER D MEZZANIE,650 S GRIFFIN ST,75202,9
RONNIE'S CATFISH,2538 SECOND AVE,75210,10
LA UNICA RESTAURANTE Y PUPUSERIA,9607 BRUTON RD,75217,11
ROGERS PARK FRUIT MARKET,7401 N CLARK ST,60626,12
BEATNIK,1604-1608 W CHICAGO AVE,60622,13
"BRITE NEW MIND DAY CARE CENTER, INC.",112 E 51ST ST,60615,14
SAINT WALTER SCHOOL,11741 S WESTERN AVE,60643,15
SINGLE WIDE,2110 GREENVILLE AVE,75206,16
"UNIVERSITY KIDS EARLY LEARNING CENTER, INC.",6420-6422 S COTTAGE GROVE AVE,60637,17
JERKK VALLEYY,1556 S PULASKI RD,60623,18
DUE MONDI CAFE,2723 N HARLEM AVE,60707,19
ABE SUPERMARKET,1935 E 79TH ST,60649,20
ELI TEA BAR,5507 N CLARK ST,60640,21
CHI-LATIN,1421 W CHICAGO AVE,60642,22
FINE FAIR FOOD & LIQUOR,3357-3359 W 16TH ST,60623,23
PRIMO PIZZA INC,5600 N CLARK ST,60660,24
OGDEN PULASKI DONUTS INC,3955 W OGDEN AVE,60623,25
CAIRO KEBAB,1524 W FULLERTON AVE,60614,26
BACCI PIZZA FRANKLIN,162 N FRANKLIN ST,60606,27
GUIDEPOST FIC B LLC,1530 N DAMEN AVE,60622,28
SWAMP CAFE,17721 DALLAS PKWY #104,75287,29
OH DONUTS,2236 S BUCKNER BLVD,75217,30
CHICAS TACOS,11044 HARRY HINES BLVD,75229,31
MILLENIUM MART #34009,3400 LOMBARDY LN STE #108,75220,32
WHATABURGER #846,1560 N COCKRELL HILL RD,75211,33
SEANEEN MART,1041 S BECKLEY AVE,75203,34
MCDONALDS #12884,3750 FOREST LN,75229,35
CHEF WANG,1201 MAIN ST,75202,36
SABOR A MEXICO RESTAURANT,10788 HARRY HINES BLVD STE #G8,75220,37
TRINITY DRIVE IN GROCERY,5011 MILITARY PKWY #A,75227,38
HAN / CITGO,6700-6710 S COTTAGE GROVE AVE,60637,39
Stevenson Middle School (Branch),4350 W 79th St,60652,40
ALCOIRIS INC,4007 W ARMITAGE AVE,60639,41
GLOW SUPERFOOD,3720 N LINCOLN AVE,60613,42
ANELYA,3472 N ELSTON AVE,60618,43
WALMART #3014 - PRODUCE,200 SHORT BLVD,75232,44
THE JERK KITCHEN,5614 W CHICAGO AVE,60651,45
FVH JARS CHICAGO I,905 W FULTON MARKET,60607,46
SUNNYDAY TAP,4953 N ELSTON AVE,60630,47
BREAKFAST HOUSE,1020 W LAWRENCE AVE,60640,48
GODDESS AND THE BAKER,121 W Wacker DR,60601,49
PAUL G. STEWART,400 E 41ST ST,60653,50
EUREST DINING SERVICES AT CAFE 300,300 N LA SALLE ST,60654,51
HENDRIKX BELGIAN BREAD CRAFTER,100 E WALTON ST,60611,52
MC DONALD'S,4704 S CICERO AVE,60638,53
BLACKWOOD BBQ,211 W ADAMS ST,60606,54
TACO BURRITO KING,811 W JACKSON BLVD,60607,55
ACERO ROBERTO CLEMENTE ELEMENTARY SCHOOL,2050 N NATCHEZ AVE,60707,56
GOPUFF,1347 S ASHLAND AVE,60608,57
GIORDANO'S,6709 N NORTHWEST HWY,60631,58
ALEBRIJES CAFE,1323 W CLARENDON DR,75208,59
THOMAS L. MARSALIS ELEMENTARY STEAM ACADEMY,5640 S MARSALIS AVE,75241,60
LOUISIANA FAMOUS FRIED CHICKEN,4001 W WHEATLAND RD #110,75237,61
THURGOOD MARSHALL ELEMENTARY SCHOOL,9666 FERRIS BRANCH BLVD,75240,62
WOLFGANG PUCK 4th FL BAR,2403 FLORA ST,75201,63
EDGEMERE UPSTAIRS,8523 THACKERY ST,75225,64
CHEESIE'S PUB & GRUB,1365 N MILWAUKEE AVE,60622,65
CAFECITO,26 E CONGRESS PKWY,60605,66
WAJO CUPS,5437 N LINCOLN AVE,60625,67
POLLO EXPRESS,1315 W 18TH ST,60608,68
ISSHIN,1103 W BRYN MAWR AVE,60660,69
SAMS CLUB #6482 - ROTISSERIE,5555 S BUCKNER BLVD,75227,70
TARGET STORE T-3214,3300 N ASHLAND AVE,60657,71
AFC SUSHI @JEWEL-OSCO #3345,1224 S WABASH AVE,60605,72
YCCS CHATHAM ACADEMY,9035 S LANGLEY,60619,73
"3 M RESTAURANT, INC.",5910 N CLARK ST,60660,74
ALOHA POKE LLC,131 N CLINTON ST,60661,75
LANGOSTA NAYARITA,3118 W 59TH ST,60629,76
NORTHWOOD HILLS ELEM,14532 MEANDERING WAY,75254,77
EL POLLO REGIO,11322 GARLAND RD,75218,78
TAQUERIA TAXCO,5614 E R L THORNTON FRWY,75223,79
ASO ROCK MARKET,10061 WHITEHURST DR #101,75243,80
BROOK HOLLOW GOLF CLUB OAK ROOM BAR,8301 HARRY HINES BLVD,75235,81
DENNY'S,10433 N CENTRAL EXPW,75231,82
ATLAS DALLAS,408 N BISHOP AVE #101,75208,83
DUNKIN DONUTS,120 W 87TH ST,60620,84
"GEE GEE FOOD MART, LTD",3906 W ROOSEVELT RD,60624,85
EL NUEVO PUERTO MARISCOS AND GRILL,2752 W LAWRENCE AVE,60625,86
TINY TOTS ACADEMY INC,2409 E 79TH ST,60649,87
POMPETTE,1960 N DAMEN AVE,60647,88
Divan Chicago,868 N FRANKLIN ST,60610,89
STELLA'S DINER,3042 N BROADWAY,60657,90
DUNKIN DONUTS BASKIN ROBBINS,600 S WABASH AVE,60605,91
AFUSION,3465 S MORGAN ST,60608,92
KANELA BREAKFAST CLUB,1549 N WELLS ST,60610,93
ARANDA MEXICAN RESTAURANT,6706 W BELMONT AVE,60634,94
JJ FISH,411 S KEDZIE AVE,60612,95
VIOLET CROWN,3699 MCKINNEY AVE #100,75204,96
OSA IZAKAYA,9711 PLANO RD #C,75238,97
ZOE'S KITCHEN #0031,2009 ABRAMS RD,75214,98
ALDI FOOD STORE #50,2505 FORT WORTH AVE,75211,99
QUIKTRIP #923,8414 S HAMPTON RD,75232,100
LITTLE CAESARS PIZZA,655 W ILLINOIS AVE 1085,75224,101
C'EST BIEN THAI,3900 N LINCOLN AVE,60613,102
7-ELEVEN #32930B,6801 N WESTERN AVE,60645,103
LINCOLN PARK PRE-SCHOOL,312 W BELDEN AVE,60614,104
LUCKY STRIKE DOWNTOWN CHICAGO,322 E ILLINOIS ST,60611,105
HOMEWOOD SUITES KITCHEN STORE,1025 ELM ST #850,75202,106
CAMINO A LA SALUD,4237 W 63RD ST,60629,107
J.J. PEPPERS FOOD,3555 N CENTRAL AVE,60634,108
Takito Kitchen,2013 W DIVISION ST,60622,109
TURKEY DAM,2523 MCKINNEY AVE,75201,110
MONARCA FRUTERIA,8414 PARK LN,75231,111
CHRIS'S BILLIARDS INC.,4637 N MILWAUKEE AVE,60630,112
EL GRECO'S BURRITOS,24 E ADAMS ST,60603,113
CAFE URBANO,4176 N ELSTON AVE,60618,114
QUICK SHOP,100 WEBB CHAPEL VILLAGE S/C,75229,115
BAR LOUIE,47 W POLK ST,60605,116
