violation_code,violation_description,violation_key
1,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC WITH NO VALID CITY OF CHICAGO FOOD CERTIFICATE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO FOOD SANITATIO",0
1,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC WITHOUT CITY OF CHICAGO CERTIFIED MANAGER CERTIFICATE. INSTD TO PROVIDE AND MAINTAIN ON-SITE | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO",1
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGN LOCATED AT THE REAR FOOD PREP AREA HAND WASHING SINK. INSTRUCTED TO PROVIDE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13 OBSER,2
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MEASURED WATER AT HANDSINKS IN NORTH SIDE PREP AND 6TH FLOOR REAR PREP AT IMPROPER TEMPERATURE. WATER TEMPERATURE VARIED BETWEEN 87.8F-90.5F AT VARIOUS HANDSINKS THROUGHOUT. FACI,3
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HOT RUNNING WATER UNDER CITY PRESSURE AT HANDWASH SINKS IN ALL TOILET ROOMS (STUDENTS AND STAFF), 68.0F-70.0F. INSTD TO PROVIDE 100F-120F HOT RUNNING WATER AT ALL TIMES. VIOLA",4
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDSOAP, PAPER TOWELS, AND HANDWASHING SIGNAGE AT PREP SINK LOCATED IN THE REAR PREPARATION AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE HANDSOAP, PAPER TOWELS, AND",5
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HOT WATER TEMPERATURE ABOVE MAXIMUM OF 120F AT HAND WASHING SINKS IN GIRLS WASHROOM (132.8F) AND BOYS WASHROOM (133.7F) IN EAST BUIDLING NEAR EXIT #3. INSTRUCTED MANAGER,6
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS A BOTH HANDWASHING SINKS IN THE KITCHEN PREP AREA.  INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Com",7
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK LOCATED NEAR FOOD SERVING LINE. HAND WASHING SINK MUST BE CONVENIENTLY LOCATED BY EMPLOYEES IN ALL FOOD DISPENSING, FOOD PREPARATION AND WAREWASHING",8
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT HAND SINK IN FOOD PREP/DISHWASHING AREA.INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED",9
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED TIMED FAUCET NOT FUNCTIONING PROPERLY IN BOYS WASHROOM. WATER MUST RUN CONTINUOUSLY FOR AT LEAST 15 SECONDS BEFORE REACTIVATING FAUCET. | 38. INSECTS, RODENTS, & ANIMALS",10
16,"FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: MUST DETAIL CLEAN INTERIOR PANEL IN ICE MACHINE IN REAR PREP AREA, INSTRUCTED TO MAINTAIN.  | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST PROPERLY LABEL FOOD STORAGE CONTAINERS",11
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON PREMISES WHILE TCS FOOD (CHICKEN PIE) IS PREPARED. INSTRUCTED MANAGER A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON PREMISES WHILE TCS F,12
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED TO PROVIDE THE ORIGINAL CERTIFICATE. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND,13
2,"CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WITH VALID ORIGINAL CERTIFICATE POSTED DURING TIME OF INSPECTION WHILE PREPARING AND SERVING, EGGS, MILK, DICED HAM, COOKED CHIC",14
22,PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER COLD HOLDING TEMPERATURES OF (TCS FOODS) INSIDE OF THE REFRIGERATOR LOCATED IN THE INFANT/YOUNG TODDLER CLASSROOM#106. OBSERVED MILK AT 47.1 F.INSTRUCTED TO MAINTAIN ALL COLD (TCS FOODS),15
