inspection_key,date_key,city_key,restaurant_key,violation_key,inspection_result_key,inspection_type_key,facility_type_key,derived_score,risk,record_source
2537823,19050713,1,12190,8589946749,0,3,48,null,Risk 1 (High),Chicago
2554467,19050714,1,4431,8589935335,2,1,92,70,Risk 1 (High),Chicago
2549316,19050714,1,19466,8589942800,2,9,92,70,Risk 1 (High),Chicago
2534921,19050713,1,20779,21998,2,9,148,70,Risk 1 (High),Chicago
2590305,19050716,1,5451,10447,5,9,48,90,Risk 2 (Medium),Chicago
2556276,19050714,1,16035,17148,2,9,148,70,Risk 1 (High),Chicago
2589062,19050716,1,1487,6449,2,9,48,70,Risk 1 (High),Chicago
2584497,19050715,1,2345,17188,5,9,48,90,Risk 1 (High),Chicago
2594786,19050716,1,13352,16986,1,9,48,80,Risk 1 (High),Chicago
2563941,19050714,1,823,6166,2,3,148,70,Risk 3 (Low),Chicago
2605741,19050716,1,7349,8589938049,2,1,48,70,Risk 1 (High),Chicago
2594328,19050716,1,18783,8589948265,1,9,48,80,Risk 2 (Medium),Chicago
2575195,19050715,1,14723,12562,1,9,48,80,Risk 1 (High),Chicago
2511127,19050713,1,3765,4620,1,9,48,80,Risk 1 (High),Chicago
2587725,19050716,1,4495,8589955999,2,1,48,70,Risk 1 (High),Chicago
2563502,19050714,1,7716,4331,2,9,148,70,Risk 1 (High),Chicago
2497642,19050713,1,12282,21478,1,9,48,80,Risk 1 (High),Chicago
2591965,19050716,1,2571,19916,2,2,48,70,Risk 1 (High),Chicago
2574595,19050715,1,16016,13991,5,9,48,90,Risk 1 (High),Chicago
2582361,19050715,1,15603,8589955866,2,1,48,70,Risk 1 (High),Chicago
2596677,19050716,1,18838,2600,5,3,48,90,Risk 1 (High),Chicago
2588820,19050716,1,12807,8589946750,5,1,48,90,Risk 2 (Medium),Chicago
2493012,19050713,1,19322,14236,5,9,148,-87.6266344762084,Risk 1 (High),Chicago
2582248,19050715,1,15578,8589942448,5,9,48,90,Risk 1 (High),Chicago
2608702,19050716,1,11323,14485,5,2,48,90,Risk 1 (High),Chicago
2600226,19050716,1,422,827,5,3,48,90,Risk 2 (Medium),Chicago
2554376,19050714,1,253,11518,5,3,48,90,Risk 1 (High),Chicago
2592643,19050716,1,15838,909,5,9,48,90,Risk 1 (High),Chicago
2556689,19050714,1,21069,8589955200,1,3,48,80,Risk 1 (High),Chicago
2580112,19050715,1,1923,8589953175,5,9,48,90,Risk 1 (High),Chicago
2485012,19050713,1,10400,18492,5,3,48,90,Risk 1 (High),Chicago
2567772,19050714,1,20082,8589936038,5,9,48,90,Risk 1 (High),Chicago
2562924,19050714,1,17060,8589943070,5,9,48,90,Risk 1 (High),Chicago
2521259,19050713,1,15808,8589955295,2,1,48,70,Risk 1 (High),Chicago
2585412,19050715,1,8251,8589938402,5,3,48,90,Risk 1 (High),Chicago
2537270,19050713,1,11467,8589951138,5,9,48,90,Risk 1 (High),Chicago
2594281,19050716,1,15095,6885,5,9,24,90,Risk 1 (High),Chicago
2534485,19050713,1,13333,8589934592,2,2,48,70,Risk 1 (High),Chicago
2587248,19050715,1,7008,3374,5,1,48,90,Risk 1 (High),Chicago
2563731,19050714,1,21646,9305,5,5,48,90,Risk 1 (High),Chicago
2572301,19050715,1,1834,8589954132,5,9,48,90,Risk 1 (High),Chicago
2510149,19050713,1,4877,8589950124,2,9,48,70,Risk 1 (High),Chicago
2560869,19050714,1,8753,8589940908,1,9,92,80,Risk 1 (High),Chicago
2581350,19050715,1,7627,8589940909,2,3,148,70,Risk 1 (High),Chicago
2534479,19050713,1,16964,11660,5,1,48,90,Risk 1 (High),Chicago
2545996,19050713,1,3022,8589952058,2,2,48,70,Risk 1 (High),Chicago
2609721,19050716,1,18598,8589934922,1,1,48,80,Risk 1 (High),Chicago
2569496,19050715,1,14502,15470,2,1,48,70,Risk 1 (High),Chicago
2549970,19050714,1,2051,15256,1,9,148,80,Risk 1 (High),Chicago
2569909,19050715,1,9522,8589955867,2,2,48,70,Risk 1 (High),Chicago
2473052,19050713,1,17850,17959,5,2,33,90,Risk 1 (High),Chicago
2590924,19050716,1,2663,8589946336,5,3,48,90,Risk 1 (High),Chicago
2549711,19050714,1,13192,9684,2,9,48,"(41.954068125180704, -87.70147782880944)",Risk 1 (High),Chicago
2592528,19050716,1,13848,3321,1,2,33,80,Risk 1 (High),Chicago
2591968,19050716,1,20592,8701,1,9,48,80,Risk 1 (High),Chicago
2563787,19050714,1,1356,8589941272,1,9,148,80,Risk 1 (High),Chicago
2579109,19050715,1,7288,8589949712,2,9,48,70,Risk 1 (High),Chicago
2575941,19050715,1,17240,13002,5,9,48,90,Risk 1 (High),Chicago
2549953,19050714,1,18647,4951,5,9,48,90,Risk 1 (High),Chicago
2568202,19050714,1,19375,272,5,9,33,90,Risk 1 (High),Chicago
2587871,19050716,1,5884,11368,5,9,48,90,Risk 1 (High),Chicago
2586082,19050715,1,7105,8589937267,5,5,48,90,Risk 1 (High),Chicago
2567833,19050714,1,14369,8589943700,5,2,132,90,Risk 3 (Low),Chicago
2579368,19050715,1,13991,8589941324,2,9,92,70,Risk 1 (High),Chicago
2588623,19050716,1,11564,8589948502,5,9,48,90,Risk 1 (High),Chicago
2591344,19050716,1,5233,13042,5,9,3,90,Risk 1 (High),Chicago
2568713,19050714,1,15096,20211,5,2,119,90,Risk 2 (Medium),Chicago
2589470,19050716,1,12522,3508,2,9,148,70,Risk 1 (High),Chicago
2603672,19050716,1,8018,8589936672,5,9,48,90,Risk 2 (Medium),Chicago
2611272,19050717,1,13594,11323,5,9,48,90,Risk 1 (High),Chicago
2485180,19050713,1,10878,20090,5,9,48,90,Risk 1 (High),Chicago
2570161,19050715,1,2132,15745,5,1,48,90,Risk 1 (High),Chicago
2484383,19050713,1,3536,8589940869,5,12,48,90,Risk 1 (High),Chicago
2568844,19050714,1,12456,5757,5,2,48,90,Risk 1 (High),Chicago
2610676,19050717,1,12746,21526,5,5,48,"(41.89097872954708, -87.61564604281148)",Risk 1 (High),Chicago
2603312,19050716,1,9088,5602,5,9,92,90,Risk 2 (Medium),Chicago
2581573,19050715,1,19299,1456,2,9,48,70,Risk 1 (High),Chicago
2592859,19050716,1,17241,8589936487,5,1,48,90,Risk 3 (Low),Chicago
2596257,19050716,1,21213,7971,5,2,48,90,Risk 1 (High),Chicago
2582571,19050715,1,3510,15551,1,1,139,80,Risk 3 (Low),Chicago
2571424,19050715,1,13784,8589937054,5,12,92,90,Risk 3 (Low),Chicago
2509661,19050713,1,4600,9135,5,5,48,90,Risk 1 (High),Chicago
2577085,19050715,1,11969,17394,5,9,148,90,Risk 1 (High),Chicago
2588675,19050716,1,8371,9178,5,3,48,90,Risk 1 (High),Chicago
2605345,19050716,1,14941,8589954922,5,9,48,90,Risk 1 (High),Chicago
2600408,19050716,1,18256,8589956377,5,9,48,90,Risk 1 (High),Chicago
2605335,19050716,1,20274,7471,5,9,150,90,Risk 1 (High),Chicago
2574106,19050715,1,4601,3553,5,3,148,90,Risk 1 (High),Chicago
2559663,19050714,1,21291,8589941662,2,5,48,70,Risk 1 (High),Chicago
2566964,19050714,1,10496,9535,2,9,48,70,Risk 1 (High),Chicago
2595530,19050716,1,17491,8589939300,1,9,48,80,Risk 1 (High),Chicago
2545071,19050713,1,21198,8589935725,2,9,148,70,Risk 1 (High),Chicago
2570500,19050715,1,46,8589942121,1,2,48,80,Risk 2 (Medium),Chicago
2608721,19050716,1,21175,8589942349,5,9,48,90,Risk 1 (High),Chicago
2596334,19050716,1,19730,8589950215,1,9,48,80,Risk 1 (High),Chicago
2565879,19050714,1,313,185,1,3,48,80,Risk 1 (High),Chicago
2534221,19050713,1,7032,8589955955,2,9,24,70,Risk 2 (Medium),Chicago
2604696,19050716,1,12148,19314,2,9,48,70,Risk 1 (High),Chicago
2591307,19050716,1,6932,4131,5,9,48,90,Risk 1 (High),Chicago
2564490,19050714,1,21363,8589938523,5,9,92,90,Risk 1 (High),Chicago
2521640,19050713,1,15532,8589941233,1,9,48,80,Risk 1 (High),Chicago
2572422,19050715,1,5031,12700,2,9,48,70,Risk 1 (High),Chicago
